Item Number,Brand,Processor,GPU,Type,Maximum Resolution,Model,OS,Storage Type,Features,Price,SSD Capacity (GB),RAM Size (GB),Hard Drive Capacity (GB),Screen Size (in),Processor Speed (GHz)
85264982138,VAIO,Intel Core i5 12th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,VAIO VWNC51427-BK,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",369.95,512.0,8.0,512.0,14.1,2.4
85264982145,HP,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 4060,Notebook/Laptop,1920 x 1080,HP Victus,Windows 11 Home,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",1149.49,1024.0,16.0,1024.0,16.1,2.4
85264982150,HP,Intel Celeron,Intel HD Graphics 500,Notebook/Laptop,1366 x 768,Chromebook 11 G6 EE,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",100.0,16.0,4.0,16.0,11.6,1.1
85264982984,Lenovo,Intel Core i5 4th Gen,Intel,Notebook/Laptop,1600 x 900,Lenovo ThinkPad T440S,Windows 10,SSD,Refurbished,453.76,128.0,8.0,128.0,14.0,2.1
85264983019,Lenovo,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T460,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",200.0,512.0,8.0,512.0,14.0,2.4
85264983084,Lenovo,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T470S,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",188.81,256.0,8.0,256.0,14.0,2.4
85264983114,Samsung,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,Samsung Chromebook 3,Chrome OS,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",47.0,16.0,4.0,16.0,11.6,2.5
85264983125,Dell,Intel Core i7-8665U,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 7400,Windows 11 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Backlit Keyboard, Built-in Microphone",334.99,512.0,32.0,512.0,14.0,1.9
85264983128,HP,Intel Celeron N3350,Intel HD Graphics 5000,Chromebook,1366 x 768,Chromebook 14 G5,Chrome OS,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",49.0,16.0,4.0,16.0,14.0,2.4
85264983133,Lenovo,AMD Ryzen 5,AMD Radeon Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T14,Windows 10 Pro,SSD,"Built-in Webcam, Wi-Fi",499.99,256.0,16.0,256.0,14.0,2.3
85264983136,Acer,Intel Core i7 10th Gen.,Intel UHD Graphics 620,Notebook/Laptop,2256 x 1504,Acer Chromebook Spin 713,Chrome OS,SSD,Touchscreen,229.99,128.0,16.0,16.0,13.5,1.8
85264983138,Lenovo,Intel Core i5 10th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,IdeaPad Flex 5 14IIL05,Windows 11 Home,SSD,"Touchscreen,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Multi-Touch Trackpad,  Backlit Keyboard,  Built-in Microphone",320.0,512.0,16.0,512.0,14.0,1.0
85264983146,HP,i5-7200U,Intel HD Graphics,Notebook/Laptop,1366 x 768,HP ProBook,Windows 10,HDD,Touchscreen,99.99,500.0,8.0,512.0,15.6,2.5
85264983147,HP,Intel Core i5 10th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Samsung ChromeBook,Chrome OS,SSD,Touchscreen,199.99,64.0,8.0,64.0,14.0,1.7
85264983148,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1366 x 768,Dell Latitude 3570,Windows 10 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",115.0,256.0,8.0,256.0,15.6,2.3
85264983149,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,14,Not Included,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Rugged,  Touchscreen,  Wi-Fi",399.0,512.0,32.0,512.0,14.0,1.7
85264983159,HP,Intel Core i5 3rd Gen.,Intel HD Graphics 4000,Notebook/Laptop,0,HP Probook 6570B,Windows 10 Pro,HDD,"Bluetooth,  Optical Drive,  Widescreen Display,  Wi-Fi,  DVD-RW,  Stereo Speakers and Microphone",157.77,500.0,16.0,512.0,15.6,2.6
85264983355,Dell,Intel Celeron,Intel HD,Notebook/Laptop,1366 x 768,Dell Latitude 3189,windows 11,SSD,Touchscreen,93.0,64.0,4.0,64.0,11.6,1.1
85264983366,Lenovo,AMD Ryzen 5,AMD Radeon Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T14,Windows 10 Pro,SSD,"Built-in Webcam,  Wi-Fi",419.99,256.0,16.0,256.0,14.0,2.3
85264983367,Samsung,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,Samsung Chromebook 3,Chrome OS,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",40.46,16.0,4.0,16.0,11.6,2.5
85264983372,HP,AMD A4-9120C,AMD Radeon R4,Chromebook,1366 x 768,HP Chromebook,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",99.99,32.0,4.0,32.0,14.0,2.4
85264983373,HP,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Elitebook 840 G5,Windows 11 Pro,SSD,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Spill-Resistant Keyboard,  Backlit Keyboard,  Touch ID",172.0,256.0,8.0,256.0,14.0,1.9
85264983376,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen",259.84,256.0,8.0,256.0,13.5,1.5
85264983380,ASUS,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Asus VivoBook Flip 14,Windows 11 Home,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",289.49,256.0,8.0,256.0,14.0,3.0
85264983384,MSI,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 4060,Notebook/Laptop,1920 x 1080,MSI Cyborg 15,Windows 11 Home,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",919.0,512.0,8.0,512.0,15.6,2.3
85264983388,HP,Intel Celeron,Intel HD Graphics 500,Notebook/Laptop,1366 x 768,Chromebook 11 G6 EE,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",100.0,16.0,4.0,16.0,11.6,1.1
85264983399,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,0,Dell Latitude 5490,Windows 11 Pro,SSD,Wi-Fi,239.99,500.0,32.0,512.0,14.0,1.7
85264983404,Dell,Intel Core i5-1135G7,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",599.0,1024.0,16.0,1024.0,15.6,2.4
85264983405,Gateway,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Gateway i5-12th,Windows 11 Home,SSD,Touchscreen,319.99,512.0,8.0,512.0,14.1,1.2
85264983412,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T490S,Windows 11 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",189.0,256.0,16.0,256.0,14.0,1.6
85264983418,Acer,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Acer Aspire 3,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",248.95,128.0,4.0,128.0,15.6,4.1
85264983426,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook,1920 x 1080,Latitude 5430 Rugged,Windows 11 Pro,SSD,Rugged,1329.99,256.0,16.0,256.0,14.0,1.8
85264983427,Dell,Intel Core i3 12th Gen.,Intel Iris Xe Graphics,Tablet,1920 x 1200,Latitude 7230 Rugged Extreme Tablet,Windows 11 Pro,SSD,Rugged,1049.99,256.0,8.0,256.0,14.0,3.3
85264983429,Dell,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Latitude 3189,Windows 10,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",139.99,128.0,4.0,128.0,11.6,1.1
85264983436,Microsoft,Microsoft SQ2,Qualcomm Adreno 690,Notebook/Laptop,2880 x 1920,Microsoft Surface Pro X,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Touchscreen,  Wi-Fi",509.99,256.0,16.0,256.0,13.0,1.8
85264983437,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,3000 x 2000,Lenovo ThinkPad X1 Tablet Gen 3,Windows 11 Pro,SSD,LTE,419.99,256.0,16.0,256.0,13.0,1.8
85264983441,Dell,Intel Core i5 11th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 5520,Windows 11 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",399.99,256.0,16.0,256.0,15.6,2.6
85264983443,Acer,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050Ti,Notebook/Laptop,1920 x 1080,Acer Nitro 5,Windows 11 Home,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",629.0,512.0,16.0,512.0,15.6,2.7
85264983446,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2256 x 1504,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",549.99,256.0,16.0,256.0,13.5,1.8
85264983447,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 7420,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",349.99,256.0,16.0,256.0,14.0,3.0
85264983452,Acer,Intel Celeron,Intel HD Graphics,Laptop,1366 x 768,Chromebook C738T-C44Z,Chrome OS,SSD,"Touchscreen, Bluetooth",57.99,32.0,4.0,32.0,11.6,1.6
85264983453,HP,Intel Core i5 10th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,HP EliteBook x360 1040 G7,Windows 10 Pro,SSD,Convertible 2-in-1 Laptop/Tablet,548.0,256.0,16.0,256.0,14.0,1.7
85264983454,HP,Intel Core i7 8th Gen.,Nvidia Quadro P3200,Notebook/Laptop,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi",524.95,512.0,64.0,512.0,17.3,2.6
85264983459,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T480s,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touch ID, Wi-Fi",189.99,256.0,8.0,256.0,14.0,1.7
85264983464,Dell,Intel Core i7 9th Gen.,NVIDIA Quadro RTX 4000,Notebook/Laptop,1920 x 1080,Precision 7740,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",649.99,512.0,32.0,32.0,17.3,2.4
85264983468,Lenovo,Intel Celeron,Intel HD Graphics 500,Notebook/Laptop,1366 x 768,Lenovo Thinkpad Yoga 11e,Chrome OS,eMMC,Touchscreen,35.0,16.0,4.0,16.0,11.6,1.83
85264983470,Samsung,Intel i5-2467M,Intel HD Graphics 3000,Notebook,0,samsung 700t,Windows 11 Pro,SSD,Touchscreen,53.0,64.0,4.0,64.0,12.2,1.6
85264983471,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1366 x 768,Dell Latitude E7480,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",10.99,128.0,8.0,128.0,14.0,2.4
85264983472,HP,Intel Celeron,Integrated Intel HD Graphics,Chromebook,1366 x 768,HP Chromebook 11 G4,Chrome OS,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",37.95,16.0,4.0,16.0,11.6,2.16
85264983476,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2560 x 1600,82R,Windows 11,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi,  Fingerprint Reader,  Webcam Kill Switch",616.4,512.0,16.0,512.0,16.0,4.7
85264983479,Dell,core i5 8th gen,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,DELL LATITUDE 5400,Windows 11 Pro,SSD,Wi-Fi,279.99,500.0,32.0,512.0,14.0,1.9
85264983483,Dell,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,Dell Chromebook 11 3120,Chrome OS,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",96.99,16.0,4.0,16.0,11.6,2.16
85264983493,Samsung,Intel Core i5 10th Gen.,Intel UHD Graphics,Notebook/Laptop,3840 x 2160,Samsung Galaxy Chromebook 4k,Chrome OS,SSD,"Bluetooth,  Stylus,  Touchscreen,  Wi-Fi",349.99,256.0,8.0,256.0,13.3,1.6
85264983503,Acer,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050Ti,Notebook/Laptop,1920 x 1080,Acer Nitro 5,Windows 11 Home,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",629.0,512.0,16.0,512.0,15.6,2.7
85264983505,Dell,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Latitude 3189,Windows 10,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",139.99,128.0,4.0,128.0,11.6,1.1
85264983508,Gateway,Intel Pentium,Intel UHD Graphics,Notebook/Laptop,1366 x 768,Samsung ChromeBook,Chrome OS,eMMC,"Touchscreen, Built-in Webcam, Bluetooth, Built-in Microphone",139.99,128.0,4.0,128.0,15.6,1.1
85264983514,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 5440,Windows 11 Pro,SSD,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Multi-Touch Trackpad,  Backlit Keyboard,  Built-in Microphone",825.0,512.0,16.0,512.0,14.0,3.9
85264983517,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,2256 x 1504,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",549.99,256.0,16.0,256.0,13.5,1.8
85264983519,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",259.84,256.0,8.0,256.0,13.5,1.5
85264983523,Lenovo,AMD Ryzen 7 Pro 3700U,Radeon Vega Mobile Gfx,Notebook/Laptop,1920 x 1080,ThinkPad,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",299.0,512.0,16.0,16.0,14.0,2.3
85264983527,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,0,Dell Latitude Rugged 5414,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Rugged, Wi-Fi",297.0,512.0,8.0,512.0,14.0,2.4
85264983528,Lenovo,Intel Core i7 3rd Gen.,NVIDIA Quadro K1000M,Notebook/Laptop,0,Lenovo ThinkPad W530,Windows 10 Pro,SSD,"Built-in Microphone,  Built-in Webcam,  Optical Drive,  Wi-Fi",282.0,512.0,16.0,512.0,15.6,2.6
85264983532,Dell,Intel Core i5 vPro 8th Gen,Intel UHD Graphics 620,Notebook/Laptop,1366 x 768,Dell Latitude 7490,Windows 10 Pro,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Multi-Touch Trackpad,  Touch ID,  Widescreen Display,  Wi-Fi",245.0,1024.0,32.0,1024.0,14.0,1.7
85264983538,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",479.0,512.0,16.0,512.0,15.6,2.0
85264983541,Dell,Intel Core i7 8th Gen.,NVIDIA Quadro P1000,Notebook/Laptop,1920 x 1080,Dell Precision 5530,Not Included,SSD,"Backlit Keyboard, Built-in Webcam, Wi-Fi",388.0,512.0,32.0,512.0,15.6,2.6
85264983545,HP,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,HP Chromebook 11 G4,Chrome OS,eMMC,"WiFi,  Headphone Mic Combo Jack,  Bluetooth,  Built-in Webcam",85.0,16.0,4.0,16.0,11.6,2.16
85264983547,HP,Intel Celeron N,Intel UHD Graphics,Notebook/Laptop,1366 x 768,47X83UA#ABA,Windows 11 Home,eMMC,Touchscreen,110.95,64.0,4.0,64.0,14.0,1.1
